"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Czechia","CZE","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.236318225193","15.7729647246278","17.4271711475005","17.8641042591467","18.7049285241734","18.5808399505365","17.3270059858015","17.3650457948497","17.7287686789691","16.8681412601451","17.8249619494707","19.5514159841284","20.7070739621104","22.5793250088753","20.3523344155028","21.2084636291922",
"Germany","DEU","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.4555364522074","15.0704599306815","16.7898186515556","16.8848621678456","16.3375426871204","17.2215382672389","17.2943283240144","17.2060161377871","17.8212320062987","18.0793257800525","15.8473261491552","15.7444628643071","16.3846506680047","15.4996316282073","15.3813912684355","15.9912089015793",
"Djibouti","DJI","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.923621453174967","","","","","","","","","","","","","",
"Dominica","DMA","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.837412349523099","","9.00607409482736","5.9405399263642","","","9.62334924307427","8.33001817629596","5.33180863920164","16.9050650080085","1.69441012466024","3.30533077770519","",
"Denmark","DNK","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.3153444285196","16.9161242948991","18.9297625514611","15.4682846011699","15.2739442870848","15.8260074875633","15.8216095296484","15.7173659047468","17.1650789908289","14.8826237095527","12.4973348179734","12.3533277418719","12.0393771345561","13.2337516881688","13.7672188864045","15.8053906702031",
"Dominican Republic","DOM","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.6613198000986","7.13634483225772","4.85373785291197","2.34947424904408","2.38549245096192","3.20065823562734","4.45453773950551","4.30496070477284","3.96681460871922","4.42181484452094","8.35627149926946","6.39815706280082","6.34756512279998","8.72733463091246","8.48005001549177","6.01878648359637",
"Algeria","DZA","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2037128625053","1.04177603436066","1.17679109238388","1.16790041818633","0.541468111214074","0.343094841041672","0.569126987791947","0.328391631416688","0.233281066486999","0.489614088330072","0.96029933858419","","","","","",
"East Asia & Pacific (excluding high income)","EAP","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.7114502030844","28.0664479586182","32.5603625269692","30.8494639319738","29.0735394972251","29.7142874370368","30.4709875886053","29.2546345519506","29.9889785251095","29.959846956556","31.7108844811532","32.1715071892647","31.6817640464188","32.640542088058","31.0439429587596","24.4446881106711",
"Early-demographic dividend","EAR","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.42421240050244","8.39819817628894","7.69562662742883","7.87958957539706","7.73821580603454","8.13296954410715","8.61168184767406","8.78695427638142","10.547435229344","10.7866580445777","11.1931382203797","12.9693977974468","11.3063421935246","13.3238291418826",
"East Asia & Pacific","EAS","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.2824400638341","28.847176344898","32.0217843595185","30.5420623229851","27.4500142425102","27.5526632121247","28.0109896607629","27.234194374671","28.0389451447458","28.0882199720398","33.8615557679421","34.5046729220993","33.9439349544507","35.9197457542502","35.1682658898114","23.3844645830598",
